video_id,label,frames,label_id,shape,format
197,Zooming In With Full Hand,37,23,"(100, 132)",JPEG
198,Swiping Down,37,15,"(100, 176)",JPEG
201,Rolling Hand Backward,37,7,"(100, 176)",JPEG
205,Pulling Hand In,37,3,"(100, 176)",JPEG
207,Stop Sign,37,14,"(100, 176)",JPEG
212,Rolling Hand Forward,37,8,"(100, 176)",JPEG
217,Swiping Up,37,18,"(100, 176)",JPEG
220,No gesture,37,2,"(100, 176)",JPEG
223,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
227,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
232,Swiping Up,37,18,"(100, 132)",JPEG
233,Drumming Fingers,37,1,"(100, 176)",JPEG
235,Pulling Hand In,37,3,"(100, 176)",JPEG
237,Pulling Hand In,37,3,"(100, 176)",JPEG
238,Zooming In With Two Fingers,37,24,"(100, 132)",JPEG
239,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
242,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
243,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
246,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
248,Swiping Down,37,15,"(100, 176)",JPEG
250,Swiping Up,37,18,"(100, 176)",JPEG
252,Pulling Hand In,37,3,"(100, 176)",JPEG
255,Zooming In With Two Fingers,37,24,"(100, 100)",JPEG
258,Pushing Two Fingers Away,37,6,"(100, 132)",JPEG
259,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
263,Shaking Hand,37,9,"(100, 176)",JPEG
270,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
274,Doing other things,37,0,"(100, 176)",JPEG
275,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
280,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
287,Pulling Hand In,37,3,"(100, 176)",JPEG
288,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
290,Turning Hand Counterclockwise,37,22,"(100, 176)",JPEG
294,Drumming Fingers,37,1,"(100, 176)",JPEG
297,Swiping Right,37,17,"(100, 176)",JPEG
301,Rolling Hand Forward,37,8,"(100, 176)",JPEG
302,Zooming Out With Full Hand,37,25,"(100, 132)",JPEG
304,Thumb Down,37,19,"(100, 176)",JPEG
305,Doing other things,37,0,"(100, 176)",JPEG
306,Rolling Hand Backward,37,7,"(100, 176)",JPEG
310,Thumb Up,37,20,"(100, 176)",JPEG
312,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
314,No gesture,37,2,"(100, 132)",JPEG
316,Rolling Hand Forward,37,8,"(100, 176)",JPEG
318,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
321,Pulling Hand In,37,3,"(100, 176)",JPEG
327,Swiping Left,37,16,"(100, 176)",JPEG
330,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
331,Thumb Down,37,19,"(100, 176)",JPEG
332,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
336,Swiping Up,37,18,"(100, 176)",JPEG
339,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
343,Swiping Right,37,17,"(100, 176)",JPEG
347,Pulling Hand In,37,3,"(100, 132)",JPEG
349,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
350,Doing other things,37,0,"(100, 176)",JPEG
351,Swiping Right,37,17,"(100, 176)",JPEG
357,Pushing Hand Away,37,5,"(100, 176)",JPEG
361,Pushing Hand Away,37,5,"(100, 176)",JPEG
368,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
369,Swiping Right,37,17,"(100, 132)",JPEG
370,Doing other things,37,0,"(100, 176)",JPEG
373,Swiping Right,37,17,"(100, 176)",JPEG
381,Thumb Up,37,20,"(100, 176)",JPEG
383,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
385,No gesture,37,2,"(100, 176)",JPEG
387,Turning Hand Counterclockwise,37,22,"(100, 132)",JPEG
391,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
396,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
398,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
400,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
403,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
405,Rolling Hand Backward,37,7,"(100, 176)",JPEG
407,No gesture,37,2,"(100, 132)",JPEG
408,Rolling Hand Backward,37,7,"(100, 132)",JPEG
410,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
413,Swiping Down,37,15,"(100, 176)",JPEG
414,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
415,Doing other things,37,0,"(100, 176)",JPEG
419,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
424,Swiping Right,37,17,"(100, 176)",JPEG
429,Swiping Left,37,16,"(100, 176)",JPEG
431,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
433,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
439,Zooming In With Full Hand,37,23,"(100, 132)",JPEG
440,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
443,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
447,Swiping Up,37,18,"(100, 176)",JPEG
451,Pulling Hand In,37,3,"(100, 176)",JPEG
452,Drumming Fingers,37,1,"(100, 176)",JPEG
454,Swiping Up,37,18,"(100, 176)",JPEG
456,No gesture,37,2,"(100, 132)",JPEG
457,Doing other things,37,0,"(100, 176)",JPEG
458,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
464,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
465,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
471,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
474,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
477,Swiping Left,37,16,"(100, 176)",JPEG
478,Rolling Hand Backward,37,7,"(100, 132)",JPEG
480,Turning Hand Clockwise,37,21,"(100, 132)",JPEG
482,Pulling Hand In,37,3,"(100, 176)",JPEG
484,Rolling Hand Backward,37,7,"(100, 176)",JPEG
486,Rolling Hand Backward,37,7,"(100, 176)",JPEG
487,Doing other things,37,0,"(100, 176)",JPEG
489,Swiping Right,37,17,"(100, 176)",JPEG
492,No gesture,37,2,"(100, 132)",JPEG
497,Swiping Down,37,15,"(100, 176)",JPEG
498,Drumming Fingers,37,1,"(100, 176)",JPEG
499,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
500,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
501,Rolling Hand Backward,37,7,"(100, 176)",JPEG
502,Pulling Hand In,37,3,"(100, 176)",JPEG
503,Drumming Fingers,37,1,"(100, 176)",JPEG
504,No gesture,37,2,"(100, 132)",JPEG
505,Swiping Down,37,15,"(100, 176)",JPEG
511,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
517,Doing other things,37,0,"(100, 176)",JPEG
521,Drumming Fingers,37,1,"(100, 176)",JPEG
523,Pushing Hand Away,37,5,"(100, 176)",JPEG
524,Thumb Down,37,19,"(100, 176)",JPEG
526,Rolling Hand Forward,37,8,"(100, 176)",JPEG
528,Rolling Hand Forward,37,8,"(100, 132)",JPEG
529,Zooming Out With Full Hand,37,25,"(100, 132)",JPEG
531,Thumb Down,37,19,"(100, 176)",JPEG
533,Thumb Down,37,19,"(100, 176)",JPEG
540,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
542,Doing other things,37,0,"(100, 132)",JPEG
543,Drumming Fingers,37,1,"(100, 176)",JPEG
544,Turning Hand Counterclockwise,37,22,"(100, 176)",JPEG
545,Doing other things,37,0,"(100, 176)",JPEG
546,Drumming Fingers,37,1,"(100, 176)",JPEG
547,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
548,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
549,Zooming In With Full Hand,37,23,"(100, 132)",JPEG
550,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
551,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
555,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
556,Drumming Fingers,37,1,"(100, 176)",JPEG
557,Rolling Hand Forward,37,8,"(100, 176)",JPEG
563,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
564,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
566,Pulling Hand In,37,3,"(100, 176)",JPEG
570,Drumming Fingers,37,1,"(100, 176)",JPEG
573,Rolling Hand Forward,37,8,"(100, 176)",JPEG
574,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
577,Stop Sign,37,14,"(100, 176)",JPEG
579,Swiping Left,37,16,"(100, 176)",JPEG
580,Shaking Hand,37,9,"(100, 176)",JPEG
586,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
590,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
592,Doing other things,37,0,"(100, 132)",JPEG
596,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
597,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
602,Swiping Left,37,16,"(100, 176)",JPEG
607,Swiping Right,37,17,"(100, 176)",JPEG
614,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
618,Pushing Hand Away,37,5,"(100, 176)",JPEG
622,Stop Sign,37,14,"(100, 132)",JPEG
623,Swiping Down,37,15,"(100, 176)",JPEG
625,Drumming Fingers,37,1,"(100, 176)",JPEG
626,Drumming Fingers,37,1,"(100, 176)",JPEG
627,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
631,Swiping Up,37,18,"(100, 176)",JPEG
634,Rolling Hand Forward,37,8,"(100, 176)",JPEG
636,Rolling Hand Forward,37,8,"(100, 176)",JPEG
637,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
638,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
640,Stop Sign,37,14,"(100, 176)",JPEG
641,Stop Sign,37,14,"(100, 176)",JPEG
643,Shaking Hand,37,9,"(100, 176)",JPEG
647,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
649,Rolling Hand Backward,37,7,"(100, 176)",JPEG
650,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
661,Thumb Down,37,19,"(100, 176)",JPEG
664,Doing other things,37,0,"(100, 176)",JPEG
669,No gesture,37,2,"(100, 176)",JPEG
671,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
674,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
675,Doing other things,37,0,"(100, 176)",JPEG
681,Thumb Up,37,20,"(100, 176)",JPEG
684,Swiping Up,37,18,"(100, 176)",JPEG
686,Zooming Out With Full Hand,37,25,"(100, 132)",JPEG
692,Doing other things,37,0,"(100, 176)",JPEG
694,Shaking Hand,37,9,"(100, 176)",JPEG
695,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
696,Doing other things,37,0,"(100, 176)",JPEG
698,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
700,Doing other things,37,0,"(100, 176)",JPEG
702,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
710,Swiping Left,37,16,"(100, 132)",JPEG
712,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
714,Swiping Down,37,15,"(100, 176)",JPEG
715,Swiping Left,37,16,"(100, 176)",JPEG
717,Turning Hand Clockwise,37,21,"(100, 132)",JPEG
718,Thumb Up,37,20,"(100, 176)",JPEG
719,Shaking Hand,37,9,"(100, 176)",JPEG
720,Swiping Right,37,17,"(100, 132)",JPEG
721,Pulling Hand In,37,3,"(100, 176)",JPEG
729,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
730,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
732,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
735,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
736,Drumming Fingers,37,1,"(100, 176)",JPEG
738,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
739,Turning Hand Counterclockwise,37,22,"(100, 176)",JPEG
740,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
744,Stop Sign,37,14,"(100, 176)",JPEG
751,Doing other things,37,0,"(100, 176)",JPEG
753,Drumming Fingers,37,1,"(100, 176)",JPEG
754,Stop Sign,37,14,"(100, 176)",JPEG
755,Stop Sign,37,14,"(100, 132)",JPEG
756,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
759,Thumb Up,37,20,"(100, 176)",JPEG
761,Swiping Left,37,16,"(100, 176)",JPEG
764,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
771,Rolling Hand Backward,37,7,"(100, 176)",JPEG
772,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
779,Shaking Hand,37,9,"(100, 176)",JPEG
784,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
785,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
786,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
795,Shaking Hand,37,9,"(100, 132)",JPEG
796,Drumming Fingers,37,1,"(100, 176)",JPEG
799,Stop Sign,37,14,"(100, 176)",JPEG
800,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
801,Pulling Two Fingers In,37,4,"(100, 132)",JPEG
803,Doing other things,37,0,"(100, 176)",JPEG
806,Doing other things,37,0,"(100, 176)",JPEG
811,Doing other things,37,0,"(100, 176)",JPEG
819,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
821,Thumb Down,37,19,"(100, 176)",JPEG
823,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
828,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
830,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
831,Swiping Right,37,17,"(100, 176)",JPEG
833,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
835,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
836,Doing other things,37,0,"(100, 176)",JPEG
838,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
841,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
846,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
852,No gesture,37,2,"(100, 176)",JPEG
854,Swiping Left,37,16,"(100, 176)",JPEG
860,Thumb Up,37,20,"(100, 176)",JPEG
861,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
863,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
872,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
874,Swiping Right,37,17,"(100, 176)",JPEG
875,Drumming Fingers,37,1,"(100, 176)",JPEG
876,Stop Sign,37,14,"(100, 132)",JPEG
878,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
885,Swiping Up,37,18,"(100, 176)",JPEG
887,Shaking Hand,37,9,"(100, 176)",JPEG
888,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
889,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
890,Thumb Up,37,20,"(100, 176)",JPEG
891,Stop Sign,37,14,"(100, 176)",JPEG
892,Doing other things,37,0,"(100, 132)",JPEG
893,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
894,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
895,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
896,Swiping Down,37,15,"(100, 176)",JPEG
897,No gesture,37,2,"(100, 132)",JPEG
899,Pulling Hand In,37,3,"(100, 176)",JPEG
902,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
907,Pulling Hand In,37,3,"(100, 176)",JPEG
908,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
909,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
912,Thumb Up,37,20,"(100, 176)",JPEG
914,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
917,Doing other things,37,0,"(100, 176)",JPEG
921,Turning Hand Counterclockwise,37,22,"(100, 176)",JPEG
923,Swiping Right,37,17,"(100, 176)",JPEG
925,Stop Sign,37,14,"(100, 176)",JPEG
927,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
928,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
929,Doing other things,37,0,"(100, 176)",JPEG
933,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
936,No gesture,37,2,"(100, 176)",JPEG
937,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
939,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
940,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
943,Pulling Hand In,37,3,"(100, 176)",JPEG
944,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
945,Turning Hand Counterclockwise,37,22,"(100, 132)",JPEG
947,Swiping Left,37,16,"(100, 176)",JPEG
949,Shaking Hand,37,9,"(100, 176)",JPEG
952,No gesture,37,2,"(100, 176)",JPEG
953,Swiping Up,37,18,"(100, 176)",JPEG
955,Thumb Down,37,19,"(100, 176)",JPEG
956,Thumb Down,37,19,"(100, 176)",JPEG
958,Shaking Hand,37,9,"(100, 176)",JPEG
961,Rolling Hand Forward,37,8,"(100, 176)",JPEG
965,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
966,Swiping Left,37,16,"(100, 176)",JPEG
975,Doing other things,37,0,"(100, 176)",JPEG
977,Swiping Down,37,15,"(100, 176)",JPEG
993,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
1000,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1002,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
1003,Swiping Left,37,16,"(100, 132)",JPEG
1005,Pulling Hand In,37,3,"(100, 176)",JPEG
1006,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
1007,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1009,Swiping Up,37,18,"(100, 176)",JPEG
1011,Doing other things,37,0,"(100, 176)",JPEG
1018,Swiping Up,37,18,"(100, 176)",JPEG
1019,Swiping Right,37,17,"(100, 176)",JPEG
1021,Turning Hand Counterclockwise,37,22,"(100, 176)",JPEG
1022,Swiping Left,37,16,"(100, 176)",JPEG
1026,Drumming Fingers,37,1,"(100, 176)",JPEG
1028,Doing other things,37,0,"(100, 176)",JPEG
1033,Swiping Down,37,15,"(100, 132)",JPEG
1034,Doing other things,37,0,"(100, 176)",JPEG
1036,Swiping Right,37,17,"(100, 176)",JPEG
1037,Swiping Left,37,16,"(100, 176)",JPEG
1038,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1050,Swiping Right,37,17,"(100, 176)",JPEG
1051,Doing other things,37,0,"(100, 176)",JPEG
1053,Doing other things,37,0,"(100, 176)",JPEG
1054,Swiping Left,37,16,"(100, 176)",JPEG
1055,Pushing Hand Away,37,5,"(100, 176)",JPEG
1056,Doing other things,37,0,"(100, 176)",JPEG
1061,Thumb Down,37,19,"(100, 176)",JPEG
1063,Drumming Fingers,37,1,"(100, 176)",JPEG
1064,Swiping Down,37,15,"(100, 176)",JPEG
1065,Swiping Left,37,16,"(100, 132)",JPEG
1066,Pulling Hand In,37,3,"(100, 176)",JPEG
1067,Swiping Up,37,18,"(100, 176)",JPEG
1070,Stop Sign,37,14,"(100, 176)",JPEG
1071,Thumb Down,37,19,"(100, 176)",JPEG
1072,Drumming Fingers,37,1,"(100, 176)",JPEG
1075,Swiping Right,37,17,"(100, 176)",JPEG
1081,Thumb Down,37,19,"(100, 176)",JPEG
1087,Swiping Right,37,17,"(100, 132)",JPEG
1088,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
1090,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1092,Swiping Up,37,18,"(100, 176)",JPEG
1093,Doing other things,37,0,"(100, 176)",JPEG
1102,Rolling Hand Backward,37,7,"(100, 176)",JPEG
1105,Rolling Hand Forward,37,8,"(100, 176)",JPEG
1109,Zooming In With Two Fingers,37,24,"(100, 132)",JPEG
1112,Shaking Hand,37,9,"(100, 176)",JPEG
1113,Swiping Up,37,18,"(100, 132)",JPEG
1122,Shaking Hand,37,9,"(100, 176)",JPEG
1125,Pulling Hand In,37,3,"(100, 176)",JPEG
1138,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1140,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
1141,Doing other things,37,0,"(100, 176)",JPEG
1143,Zooming In With Two Fingers,37,24,"(100, 132)",JPEG
1145,Swiping Down,37,15,"(100, 176)",JPEG
1147,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
1148,Drumming Fingers,37,1,"(100, 176)",JPEG
1150,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1152,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
1157,Thumb Up,37,20,"(100, 176)",JPEG
1165,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
1166,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
1167,Doing other things,37,0,"(100, 176)",JPEG
1173,Stop Sign,37,14,"(100, 132)",JPEG
1180,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1183,Pulling Hand In,37,3,"(100, 132)",JPEG
1188,Rolling Hand Forward,37,8,"(100, 176)",JPEG
1189,Pushing Hand Away,37,5,"(100, 176)",JPEG
1191,Shaking Hand,37,9,"(100, 176)",JPEG
1193,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
1199,Zooming In With Full Hand,37,23,"(100, 132)",JPEG
1200,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
1204,Stop Sign,37,14,"(100, 176)",JPEG
1207,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
1208,No gesture,37,2,"(100, 176)",JPEG
1209,Rolling Hand Backward,37,7,"(100, 176)",JPEG
1210,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1221,Rolling Hand Backward,37,7,"(100, 176)",JPEG
1224,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
1226,Rolling Hand Backward,37,7,"(100, 176)",JPEG
1229,Doing other things,37,0,"(100, 176)",JPEG
1238,Swiping Left,37,16,"(100, 176)",JPEG
1239,Swiping Down,37,15,"(100, 176)",JPEG
1240,Thumb Down,37,19,"(100, 176)",JPEG
1242,Swiping Right,37,17,"(100, 132)",JPEG
1248,Swiping Up,37,18,"(100, 176)",JPEG
1250,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1253,Thumb Down,37,19,"(100, 176)",JPEG
1256,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1261,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
1262,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1265,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1266,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1269,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1274,No gesture,37,2,"(100, 176)",JPEG
1276,Pushing Hand Away,37,5,"(100, 176)",JPEG
1277,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1278,Swiping Down,37,15,"(100, 176)",JPEG
1282,No gesture,37,2,"(100, 176)",JPEG
1285,No gesture,37,2,"(100, 176)",JPEG
1289,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1292,Swiping Down,37,15,"(100, 176)",JPEG
1297,Thumb Down,37,19,"(100, 176)",JPEG
1308,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1311,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
1312,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
1315,Rolling Hand Forward,37,8,"(100, 176)",JPEG
1316,Turning Hand Counterclockwise,37,22,"(100, 176)",JPEG
